Page,Index,Title,DOI,PDFLink,Downloaded
1,67,Improving the efficiency of class-D audio amplifier systems using envelope tracking DC-DC power supplies,10.1109/APEC.2018.8341044,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8341044,1
1,68,A Sigma-Delta class D audio power amplifier in 0.35μm CMOS technology,10.1109/SOCDC.2008.4815561,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4815561,1
1,69,Investigation of the dynamic load modulation of an inverse class-F power amplifier with an adaptive matching network,10.1109/PAWR.2018.8310056,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8310056,1
1,70,Design and measurement analysis of Class AB power amplifier,10.1109/ICMMT.2016.7762463,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7762463,1
1,71,GaN-Based High-Efficiency Class AB Power Amplifier Design for Sub-6 GHz 5G Transmitter Systems,10.23919/ELECO54474.2021.9677683,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9677683,1
1,72,Design of high-efficiency power amplifier system for high-directional speaker,10.1109/IPEMC.2016.7512439,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7512439,1
1,73,High-Efficiency GaN Doherty Power Amplifier based on Inverse Class-F Operation,10.1109/PAWR59907.2024.10438616,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10438616,1
1,74,A L-Band Class AB Power Amplifier Based on the Lateral Double-diffused Metal Oxide Semiconductor Device,10.1109/ICICM54364.2021.9660355,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9660355,1
1,75,Wideband class AB RF power amplifier using CMOS compatible SOI-MESFET device on 150nm technology,10.1109/PAWR.2012.6174946,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6174946,1
1,76,An Input Driver Circuit for Class F Power Amplifier,10.1109/RFM.2006.331059,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4133574,1
1,77,Advanced design of differential CMOS PA,10.1109/PAWR.2014.6825741,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6825741,1
1,78,Design and simulation of an RF power amplifier integrated harmonic suppression antenna for WiMAX applications,10.1109/ICCCI.2017.8117760,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8117760,1
1,79,High efficiency power amplifier applying envelope elimination and restoration technique with a single stage envelope amplifier with ripple cancellation network,10.1109/ECCE.2013.6647460,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6647460,1
1,80,Tracking Multilevel Power Supplies for Class-D Audio Amplifiers,10.1109/JESTPE.2020.2980421,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9034085,1
1,81,Development of a GaN HEMT class-AB power amplifier for an envelope tracking system at 2.45 GHz,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5491426,1
1,82,Joint RF pre-distortion and post-distortion linearization of small cell power amplifiers,10.1109/PAWR.2017.7875575,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7875575,1
1,83,Maximum Operating Frequency of Class-E Amplifier at Any Duty Ratio,10.1109/TCSII.2008.922407,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4543882,1
1,84,A Class-$E$ RF Power Amplifier With a Flat-Top Transistor-Voltage Waveform,10.1109/TPEL.2013.2242097,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6418041,1
1,85,Maximising the efficiency of a Class-D audio amplifier output stage,10.1109/ISSC.2017.7983642,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7983642,1
1,86,A 1.75 GHz CMOS Class E RF Power Amplifier and oscillator,10.1109/ICM.2007.4497701,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4497701,1
1,87,RF Power Amplifiers for Emerging Wireless Communications: Single Branch Vs. Multi-Branch Architectures,10.1109/CCECE.2006.277752,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4055013,1
