Page,Index,Title,DOI,PDFLink,Downloaded
2,71,A 20 GS/sec Analog-to-Digital Sigma-Delta Modulator in SiGe HBT Technology,10.1109/CICC.2006.320909,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4114944,0
2,72,A 24.7 mW 65 nm CMOS SAR-Assisted CT $\Delta\Sigma $ Modulator With Second-Order Noise Coupling Achieving 45 MHz Bandwidth and 75.3 dB SNDR,10.1109/JSSC.2016.2594953,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7547292,0
2,73,A 4-MHz Bandwidth Continuous-Time Sigma-Delta Modulator With Stochastic Quantizer and Digital Accumulator,10.1109/TCSII.2018.2880912,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8532284,0
2,74,Methods for Simulating Continuous Time Delta Sigma Modulators,10.1109/ICSEng.2017.30,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8121679,0
2,75,Low-voltage sigma-delta modulator topologies for broadband applications,10.1109/ISCAS.2004.1328232,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1328232,0
2,76,An Analog-to-Digital Converter Using Delta-Sigma Modulator Network,10.1109/ISMVL.2018.00013,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8416916,0
2,77,A Low Power Sigma-Delta Modulator Using Class-C Inverter,10.1109/VLSIC.2007.4342734,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4342734,0
2,78,Performance prospects of compact silicon microring-based electro-optic modulator for analog optical links,10.1109/ECOC.2008.4729451,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4729451,0
2,79,Two-bit all-optical analog-to-digital conversion by filtering broadened and split spectrum induced by soliton effect or self-phase modulation in fiber,10.1109/JSTQE.2006.872726,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1632176,0
2,80,Digital Calibration of Capacitor Mismatch in Sigma-Delta Modulators,10.1109/TCSI.2010.2073870,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5641627,0
2,81,A 372 μW 10 kHz-BW 109.2 dB-SNDR Nested Delta-Sigma Modulator Using Hysteresis-Comparison MSB-Pass Quantization,10.1109/JSSC.2023.3262300,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10092527,0
2,82,Modeling of non-ideal switch-capacitor integrator and its effect on baseband sigma-delta modulator stability and output dynamic range,10.1109/ICM.2005.1590045,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1590045,0
2,83,An Elaborate Design and Optimization of Low Order Bandpass Sigma-Delta Modulator,10.1109/ICM.2005.1590025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1590025,0
2,84,Testing analog circuits by using a sigma-delta modulator,10.1109/ETC.1993.246613,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=246613,0
2,85,A low-distortion and swing-suppression sigma-delta modulator with extended dynamic range,10.1109/APASIC.2002.1031519,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1031519,0
2,86,Modulators And Detectors For VLSI/FLC Smart Spatial Light Modulators,10.1109/LEOSST.1992.697481,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=697481,0
2,87,Live demonstration: High-level optimization of ΣΔ modulators using multi-objetive evolutionary algorithms,10.1109/ISCAS.2016.7527521,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7527521,0
2,88,Generation method of a driving signal for a dual-mode supply modulator in a 3-level envelope delta-sigma modulator transmitter,10.1109/EuMC.2014.6986609,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6986609,0
2,89,Realization of the 2nd-order NTF enhancement in a time-encoded continuous-time sigma-delta modulator using passive elements,10.1109/IranianCEE.2015.7146398,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7146398,0
2,90,Analog Quadrature Modulator and Coupling Circuit for Narrowband Power Line Communication,10.23919/MIXDES55591.2022.9837975,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9837975,0
2,91,A Three-Stage Operational Transconductance Amplifier for Delta Sigma Modulator,10.1109/DISCOVER.2018.8674124,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8674124,0
2,92,Multirate-cascade sigma-delta (MC-SD) modulators,10.1109/ISCAS.2001.921873,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=921873,0
2,93,Self-testing second-order delta-sigma modulators using digital stimulus,10.1109/VTS.2002.1011122,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1011122,0
2,94,Verification of an Active Time Constant Tuning Technique for Continuous-Time Delta-Sigma Modulators,10.1109/SMACD55068.2022.9816223,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9816223,0
2,95,A comparison of simulation methods for continuous time sigma delta modulators,10.1109/CCWC.2018.8301689,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8301689,0
2,96,A second order hybrid continuous-discreet time sigma-delta modulator,10.1109/ECAI.2013.6636201,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6636201,0
2,97,DAC-less and amplifier-less generation and transmission of 16QAM signals using a sub-volt silicon photonic modulator,10.1109/ECOC.2014.6964272,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6964272,0
2,98,A 1 MHz BW 34.2 fJ/step Continuous Time Delta Sigma Modulator With an Integrated Mixer for Cardiac Ultrasound,10.1109/TBCAS.2016.2580462,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7558137,0
2,99,Precision calibration of an optically sampled analog-to-digital converter,10.1109/LEOSST.2003.1224333,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1224333,0
3,0,A 2.5-V sigma-delta modulator for broadband communications applications,10.1109/4.972139,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=972139,0
3,1,Second-order Incremental Delta-sigma Modulator with 3-bit SAR ADC and Capacitor Sharing Scheme,10.1109/ISOCC56007.2022.10031430,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10031430,0
3,2,An analog optical computational approach to RF image formation,10.1109/AERO.2006.1655911,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1655911,0
3,3,A case study on a 2-1-1 cascaded continuous-time sigma-delta Modulator,10.1109/TCSI.2005.852024,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1495718,0
3,4,Compressed sense sigma delta modulators for bio-medical image acquisition,10.1109/ISED.2016.7977101,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7977101,0
3,5,Acoustooptic Binary Coding Based on Space-Time Integration and Its Application to Ultrafast High-Resolution Digital-Analog Conversion,10.1109/LPT.2008.2006690,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4663576,0
3,6,Arbitrary waveform generation by a 4-bit photonic digital-to-analog converter with 3.49 effective number of bits,10.1109/MWP.2016.7791298,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7791298,0
3,7,Dual Frequency Comb Photonic Analog to Digital Conversion,10.1109/SUM48678.2020.9161029,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9161029,0
3,8,All-digital transmitter based on cascaded delta-sigma modulators for relaxing the analog filtering requirements,10.1109/MWSYM.2017.8058892,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8058892,0
